category,token,value_de,value_en,type,rdc,mandatory,multiple,logic,expl_de,expl_en,tenant,,,
License Property,Text- and Datamining Character Count,Text- and Datamining Zeichenzahl,Text- and Datamining Character Count,class java.lang.Integer,,,,,"Zahl der Zeichen, die im Rahmen eines Text- und Dataminings erlaubt sind.",,,,,
License Property,Text- and Datamining Restrictions,Text- and Datamining Einschränkungen.,Text- and Datamining Restrictions,class java.lang.String,,,,,"Aussagen darüber, welchen Einschränkungen das Text- und Datamining unterliegt, sowie Informationen über weiter zu berücksichtigende Aspekte wie Nutzungsbedingungen, Sicherheitserklärungen und Datenvernichtung.",,,,,
License Property,Uptime guarantee,Gewährleistung einer verfügbaren Betriebszeit,Uptime guarantee,class java.lang.String,,,,,,,,,,
License Property,Usage Statistics Addressee,Statistik Hauptverantwortlicher,Usage Statistics Addressee,class java.lang.String,,,,,"Aussagen über den Verantwortlichen, welcher die Statistiken zugesandt bekommt.",The local person to whom statistics are sent.,,,,
License Property,Usage Statistics Availability Indicator,Statistik  Lieferung,Usage Statistics Availability Indicator,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Aussagen über die Lieferung von Nutzungsstatistiken.,The availability of usage statistics for the product.,,,,
License Property,Usage Statistics Delivery,Statistik Liefermethode,Usage Statistics Delivery,class com.k_int.kbplus.RefdataValue,license.statistics.delivery,,,,Aussagen über den Versandweg der Statistiken.,The manner in which statistics are made available.,,,,
License Property,Usage Statistics Format,Statistik Auslieferungsformat,Usage Statistics Format,class com.k_int.kbplus.RefdataValue,license.statistics.format,,,,Aussagen über Auslieferformat der Statistiken.,The format(s) in which statistics are made available.,,,,
License Property,Usage Statistics Frequency,Statistik Auslieferungsfrequenz,Usage Statistics Frequency,class com.k_int.kbplus.RefdataValue,license.statistics.frequency,,,,Aussagen über die Frequenz der Auslieferung der Statistiken.,The frequency with which statistics are made available.,,,,
License Property,Usage Statistics Online Location,Statistik Links und lokale Daten,Usage Statistics Online Location,class java.lang.String,,,,,Aussagen über bzw. Links zu den lokal gespeicherten Statistiken.,Information about and/or links to locally stored data.,,,,
License Property,Usage Statistics Password,Statistik Passwort,Usage Statistics Password,class com.k_int.kbplus.RefdataValue,license.statistics.user.creds,,,,Zugangsdaten.,The password used for online access to the statistics management site or dataset may be same as administrative password.,,,,
License Property,Usage Statistics Standard Compliance,Statistikstandard,Usage Statistics Standard Compliance,class com.k_int.kbplus.RefdataValue,license.statistics.standards,,,,"Aussagen über den Standard, in welchem die Statistiken geliefert werden.","The official standard to which the statistics conform for more information, see guidelines set forth at http://www.projectcounter.org and http://www.library.yale.edu/consortia/2001webstats.htm.",,,,
License Property,Usage Statistics User ID,Statistik Nutzername,Usage Statistics User ID,class com.k_int.kbplus.RefdataValue,license.statistics.user.creds,,,,Zugangsdaten.,The identifier used for online access to the statistics management site or dataset may be same as administrative identifier.,,,,
License Property,User information confidentiality,Vertraulichkeit der Nutzerdaten,User information confidentiality,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussagen über Servicestandards, die einzuhalten sind",,,,,
License Property,Vouchers Free OA Articles,Vouchers,Vouchers Free OA Articles,class java.lang.String,,,,,"Aussagen über Vouchers, die der Anbieter der teiln. Einrichtung zur Verfügung stellt und die zur kostenlosen Publikation in einer Hybrid-Zeitschrift berechtigen.",A piece of e.g. paper that can be used instead of e.g. money.,,,,
License Property,Walk-in Access,Walk-In User,Walk-in Access,class com.k_int.kbplus.RefdataValue,permissions,,,,"Nutzergruppe, die zwar Zugang zu Informationen erhält, jedoch bspw. nicht Universitätsmitglied ist.",A group of people who have access to information whithout being e.g. a student at this University Library.,,,,
License Property,Walk-in User Term Note,Walk-In User Bedingungen,Walk-in User Term Note,class java.lang.String,,,,,"Nutzergruppe, die zwar Zugang zu Informationen erhält, jedoch bspw. nicht Universitätsmitglied ist.",Information which qualifies the status or permitted actions of Walk-In Users,,,,
License Property,Wifi Access,WLAN-Zugriff,Wifi Access,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussagen darüber, inwieweit über WLAN auf das lizenzierte Material zugegriffen werden darf.",Internet is provided without using wires.,,,,
Organisation Property,Shibboleth Identity Provider Entity-ID,Shibboleth: Identity Provider Entity-ID,Shibboleth Identity Provider Entity-ID,class java.lang.String,,,true,true,Wie lautet die Entity-ID der Organisation?,Wie lautet die Entity-ID der Organisation?,,,,
Organisation Property,Shibboleth Usage,Shibboleth: Nutzung für Bibliotheksangebote,Shibboleth Usage,class com.k_int.kbplus.RefdataValue,y.n.u,,,,Nutzt die Organisation Shibboleth für Bibliotheksangebote?,Nutzt die Organisation Shibboleth für Bibliotheksangebote?,,,,
Organisation Property,TaxExemption,Steuerbefreiung,TaxExemption,class com.k_int.kbplus.RefdataValue,y.n,,,,Liegt eine Steuerbefreiung für den Anbieter vor?,Liegt eine Steuerbefreiung für den Anbieter vor?,,,,
Platform Property,COUNTER R3: Reports supported,COUNTER R3: Reports unterstützt,COUNTER R3: Reports supported,class com.k_int.kbplus.RefdataValue,y.n,,,true,,,,,,
Platform Property,COUNTER R4: COUNTER_SUSHI API supported,COUNTER R4: COUNTER_SUSHI API unterstützt,COUNTER R4: COUNTER_SUSHI API supported,class com.k_int.kbplus.RefdataValue,y.n,,,,,,,,,
Platform Property,COUNTER R4: Reports supported,COUNTER R4: Reports unterstützt,COUNTER R4: Reports supported,class com.k_int.kbplus.RefdataValue,y.n,,,true,,,,,,
Platform Property,COUNTER R4: SUSHI Server URL,COUNTER R4: SUSHI Server URL,COUNTER R4: SUSHI Server URL,class java.net.URL,,,,,,,,,,
Platform Property,COUNTER R4: Usage Statistics URL,COUNTER R4: Webzugang Statistik,COUNTER R4: Usage Statistics URL,class java.net.URL,,,,,,,,,,
Platform Property,COUNTER R5: COUNTER_SUSHI API supported,COUNTER R5: COUNTER_SUSHI API unterstützt,COUNTER R5: COUNTER_SUSHI API supported,class com.k_int.kbplus.RefdataValue,y.n,,,,,,,,,
Platform Property,COUNTER R5: Reports supported,COUNTER R5: Reports unterstützt,COUNTER R5: Reports supported,class com.k_int.kbplus.RefdataValue,y.n,,,true,,,,,,
Platform Property,COUNTER R5: SUSHI Server URL,COUNTER R5: SUSHI Server URL,COUNTER R5: SUSHI Server URL,class java.net.URL,,,,,,,,,,
Platform Property,COUNTER R5: Usage Statistics URL,COUNTER R5: Webzugang Statistik,COUNTER R5: Usage Statistics URL,class java.net.URL,,,,,,,,,,
Platform Property,COUNTER Registry URL,COUNTER Registry URL,COUNTER Registry URL,class java.net.URL,,,,,,,,,,
Platform Property,IPv4: Supported,IPv4: Unterstützt,IPv4: Supported,class com.k_int.kbplus.RefdataValue,y.n,,,true,,,,,,
Platform Property,IPv6: Supported,IPv6: Unterstützt,IPv6: Supported,class com.k_int.kbplus.RefdataValue,y.n,,,true,,,,,,
Platform Property,NatStat Supplier ID,NatStat Anbietername,NatStat Supplier ID,class java.lang.String,,,,true,,,,,,
Platform Property,Proxy: Supported,Proxy: Unterstützt,Proxy: Supported,class com.k_int.kbplus.RefdataValue,y.n,,,true,,,,,,
Platform Property,Shibboleth: SP entityID,Shibboleth: SP entityID,Shibboleth: SP entityID,class java.lang.String,,,,true,,,,,,
Platform Property,Shibboleth: Supported,Shibboleth: Unterstützt,Shibboleth: Supported,class com.k_int.kbplus.RefdataValue,y.n,,,true,,,,,,
Subscription Property,Access choice remote,Zugangswahl Remote,Access choice remote,class com.k_int.kbplus.RefdataValue,access.choice.remote,,,,"Bitte geben Sie hier an, ob Sie 2FA, Zugang für Wissenschaftler oder kein remote Zugang wünschen?","Please indicate here whether you want 2FA, access for scientists or no remote access?",,,,
Subscription Property,Additional software necessary?,Zusätzliche Software erforderlich?,Additional software necessary?,class com.k_int.kbplus.RefdataValue,y.n,,,,Wird für die Lizenzierung eine zusätzliche Software benötigt?,,,,,
Subscription Property,Admin Access,Adminzugang,Admin Access,class java.lang.String,,,,,Mit welchen Zugangsdaten gelangt man in den Admin-Bereich auf der Anbieterplattform?,,,,,
Subscription Property,Admin Link,Admin-Link,Admin Link,class java.net.URL,,,,,Über welchen Link gelangt in man den Admin-Bereich auf der Anbieterplattform?,,,,,
Subscription Property,Banding Grading,Banding-Einstufung,Banding Grading,class java.lang.String,,,,,Banding-Zuordnung des Teilnehmers,,,,,
Subscription Property,Beck Price Category A-F,Beck Preiskategorie A-F,Beck Price Category A-F,class com.k_int.kbplus.RefdataValue,category.a.f,,,,"Bitte geben Sie an, in welche Preis-Kategorie Ihre Einrichtung fällt. Diese können Sie den Preistabellen entnehmen. A-C jeweils Uni mit und ohne Jurastutenten; D-F FH mit und ohne Jura und sonstige Einrichtungen.",Please indicate which price category your facility falls into. These can be found in the price tables. A-C each Uni with and without lawyers; D-F FH with and without law and other facilities.,,,,
Subscription Property,Billing done by provider,Rechnungsstellung durch Anbieter,Billing done by provider,class com.k_int.kbplus.RefdataValue,y.n,,,,Erfolgt die Rechnungsstellung direkt über den Anbieter?,,,,,
Subscription Property,Business model,Geschäftsmodell,Business model,class java.lang.String,,,,,Wie ist das Geschäftsmodell konzipiert und welche Elemente spielen für die Preisbildung eine Rolle?,,,,,
Subscription Property,Calculation model,Berechnungsmodell,Calculation model,class com.k_int.kbplus.RefdataValue,external.internal,,,,Wie werden die Gesamtkosten innerhalb des Konsortiums verteilt? Durch Anbieter je Einrichtung festgelegt oder interne Kostenverteilung?,,,,,
Subscription Property,Calculation of discount,Rabatt Zählung,Calculation of discount,class com.k_int.kbplus.RefdataValue,y.n,,,,Wie wird die Rabatthöhe errechnet? Z.B. durch Zählung aller Teilnehmer bei dem Anbieter…,,,,,
Subscription Property,Cancellation rate,Abbestellquote,Cancellation rate,class java.lang.String,,,,,Abbestellquote.,Cancellation rate.,,,,
Subscription Property,Cancellation reason,Abbestellgrund,Cancellation reason,class java.lang.String,,,,,Welchen Grund gab es für die Abbestellung?,,,,,
Subscription Property,Central funding possible,Zentralmittelfähig,Central funding possible,class com.k_int.kbplus.RefdataValue,y.n,,,,"Ist es möglich, diese Lizenz aus Zentralmitteln zu finanzieren?",,,,,
Subscription Property,Collective billing,Sammelrechnung,Collective billing,class com.k_int.kbplus.RefdataValue,y.n,,,,Sammelrechnung,,,,,
Subscription Property,Content options,Inhaltsoptionen,Content options,class java.lang.String,,,,,Welche inhaltlichen Optionen stehen den Konsorten zur Verfügung?,,,,,
Subscription Property,Content scope,Inhaltszuschnitt,Content scope,class java.lang.String,,,,,Welchen inhaltlichen Zuschnitt des Gesamtpakets hat der Teilnehmer lizenziert?,,,,,
Subscription Property,Credentials for users (per journal),Zugangskennungen für Nutzer (pro Zeitschrift),Credentials for users (per journal),class java.lang.String,,,,,Zugangskennungen für Nutzer (pro Zeitschrift).,,,,,
Subscription Property,DBIS entry,DBIS-Eintrag,DBIS entry,class com.k_int.kbplus.RefdataValue,y.n,,,,Existiert ein DBIS-Eintrag?,,,,,
Subscription Property,DBIS link,DBIS-Link,DBIS link,class java.net.URL,,,,,Link zum DBIS-Eintrag.,,,,,
Subscription Property,DBS subject group,DBS Fächergruppe,DBS subject group,class com.k_int.kbplus.RefdataValue,dbs.subject.group,,y,,"Fächergruppe der DBS nach Fragenummer.",,,,,
Subscription Property,DFG funding,DFG-Förderung,DFG funding,class com.k_int.kbplus.RefdataValue,y.n,,,,Ist die Lizenz DFG-gefördert?,,,,,
Subscription Property,DFG funding amount,DFG-Förderung	Höhe,DFG funding amount,class java.lang.Integer,,,,,In welchem Umfang fördert die DFG die Lizenz (Angabe in %)?,,,,,
Subscription Property,Deep Discount Price,Deep-Discount-Preis,Deep Discount Price,class com.k_int.kbplus.RefdataValue,y.n,,,,Bietet der Verlag einen Deep-Discount-Preis für Printabonnements an?,,,,,
Subscription Property,Discount,Rabatt,Discount,class java.lang.String,,,,,Höhe des Rabattes.,,,,,
Subscription Property,Due date for volume discount,Mengenrabatt Stichtag,Due date for volume discount,class java.util.Date,y.n,,,,Wann ist der Stichtag für die Findung der erreichten Rabattstufe?,,,,,
Subscription Property,EZB Collection Transfer,EZB Kollektionsdatenweitergabe an Drittsysteme erlaubt?,EZB Collection Transfer,class com.k_int.kbplus.RefdataValue,y.n,,,,Ist die Kollektionsdatenweitergabe an Drittsysteme erlaubt?,,,,,
Subscription Property,EZB tagging (yellow),EZB Gelbschaltung,EZB tagging (yellow),class com.k_int.kbplus.RefdataValue,y.n,,,,Wird eine Gelbschaltung in der EZB vorgenommen?,,,,,
Subscription Property,GASCO display name,GASCO-Anzeigename,GASCO display name,class java.lang.String,,,,true,"Dieses Merkmal setzen, um bei Bedarf im GASCO-Monitor einen anderen Lizenznamen anzugeben als in LAS:eR aufgenommen.",,,,,
Subscription Property,GASCO Entry,GASCO-Eintrag,GASCO Entry,class com.k_int.kbplus.RefdataValue,y.n,,,true,"Dieses Merkmal als Konsortialstelle auf ""ja"" setzen, um eine Lizenz im GASCO-Monitor aufzunehmen.",,,,,
Subscription Property,GASCO information link,GASCO-Informations-Link,GASCO information link,class java.net.URL,,,,true,Unter welchem Link finden sich Informationen zum Produkt?,,,,,
Subscription Property,GASCO negotiator name,GASCO-Verhandlername,GASCO negotiator name,class java.lang.String,,,,true,"Dieses Merkmal als Konsortialstelle verwenden, um im GASCO-Monitor einen anderen Verhandlungsführer-Namen anzugeben.",,,,,
Subscription Property,Hosting fee,Hosting-Gebühr,Hosting fee,class java.lang.String,,,,,Ist eine Hosting-Gebühr zu entrichten?,,,,,
Subscription Property,Internal distribution model,Internes Verteilungsmodell,Internal distribution model,class java.lang.String,,,,,"Wie werden bei interner Kostenverteilung die Kosten für die Teilnehmer berechnet? Gleichmäßige Aufteilung, nutzungsbasiert, nach FTE? Bei mehreren Faktoren: wie wird gewichtet?",,,,,
Subscription Property,Joining during the period,Unterjähriger Einstieg,Joining during the period,class com.k_int.kbplus.RefdataValue,y.n,,,,Ist ein unterjähriger Einstieg in die Lizenz möglich?,,,,,
Subscription Property,KBART,KBART,KBART,class com.k_int.kbplus.RefdataValue,y.n,,,,Existiert ein KBART-Lieferung?,,,,,
Subscription Property,License structure,Vertragskonstruktion,License structure,class com.k_int.kbplus.RefdataValue,license.structure,,,,Zwischen welchen Vertragspartnern wurde der Vertrag geschlossen?,,,,,
Subscription Property,Metadata Delivery,Metadatenlieferung,Metadata Delivery,class com.k_int.kbplus.RefdataValue,y.n,,,,Ist eine automatische Metadatenlieferung vorhanden?,,,,,
Subscription Property,Metadata Source,Metadaten Quelle,Metadata Source,class java.lang.String,,,,,Über welche Quelle können die Metadaten bezogen werden?,,,,,
Subscription Property,Newcomer discount,Neueinsteigerrabatt,Newcomer discount,class com.k_int.kbplus.RefdataValue,y.n,,,,Existiert ein zusätzlicher Neueinsteigerpreis?,,,,,
Subscription Property,Open country-wide,Bundesweit offen,Open country-wide,class com.k_int.kbplus.RefdataValue,y.n,,,,Hat die Lizenz eine überregionale Ausrichtung?,,,,,
Subscription Property,Order number in purchasing system,Bestellnummer im Erwerbungssystem,Order number in purchasing system,class java.lang.String,,,,,Bestellnummer im Erwerbungssystem.,,,,,
Subscription Property,Partial payment,Teilzahlung,Partial payment,class com.k_int.kbplus.RefdataValue,y.n,,,,Ist bei der Lizenz eine Teilzahlung der Rechnung vorgesehen?,Is a partial payment of bills intended in this subscription?,,,,
Subscription Property,Payment target,Zahlungsziel,Payment target,class java.lang.String,,,,,Wieviele Tage sind bis zum Zahlungsziel gegeben?,,,,,
Subscription Property,PDA/EBS model,PDA/EBS-Programm,PDA/EBS model,class java.lang.String,,,,,"Basiert die Lizenz auf einem PDA-, EBS- oder EBA-Modell?",,,,,
Subscription Property,Perennial term,Mehrjahreslaufzeit,Perennial term,class com.k_int.kbplus.RefdataValue,y.n,,,,Ist für die Lizenz eine Mehrjahreslaufzeit entschieden?,Has a multi-year term been decided for the subscription?,,,,
Subscription Property,Perennial term checked,Mehrjahreslaufzeit ausgewählt,Perennial term checked,class com.k_int.kbplus.RefdataValue,y.n,,,true,Hat der Teilnehmer sich für eine Mehrjahreslaufzeit entschieden?,,,,,
Subscription Property,Perpetual access,Archivzugriff,Perpetual access,class com.k_int.kbplus.RefdataValue,y.n,,,,Gibt es einen Archivzugriff?,,,,,
Subscription Property,Pick&Choose package,Pick&Choose-Paket,Pick&Choose package,class java.lang.String,,,,,Handelt es sich um ein Paket mit Einzeltitelauswahl (Pick & Choose)?,,,,,
Subscription Property,Price depending on,Preis abhängig von,Price depending on,class java.lang.String,,,true,,Ist der Preis von etwas abhängig?,,,,,
Subscription Property,Price increase,Preissteigerung,Price increase,class java.lang.String,,,,,Preissteigerung.,,,,,
Subscription Property,Price rounded,Preis gerundet,Price rounded,class com.k_int.kbplus.RefdataValue,y.n,,,,Wird der Preis gerundet?,Is the price rounded?,,,,
Subscription Property,Pricing advantage by licensing of another product,Preisvorteil durch weitere Produktteilnahme,Pricing advantage by licensing of another product,class com.k_int.kbplus.RefdataValue,y.n,,,,Kann durch die Lizenzierung eines weiteren Produktes ein Preisvorteil gesichert werden?,,,,,
Subscription Property,Private institutions,Private Einrichtungen,Private institutions,class com.k_int.kbplus.RefdataValue,y.n,,,,Dürfen auch private Einrichtungen an der Lizenz teilnehmen?,,,,,
Subscription Property,Product dependency,Produktabhängigkeit,Product dependency,class com.k_int.kbplus.RefdataValue,y.n,,,,Ist die Lizenz von einem anderen Produkt abhängig?,,,,,
Subscription Property,Restricted user group,Eingeschränkter Benutzerkreis,Restricted user group,class java.lang.String,,,,,Welche Einschränkung des Benutzerkreises gibt es?,,,,,
Subscription Property,reverse charge,reverse charge,reverse charge,class com.k_int.kbplus.RefdataValue,y.n,,,,Unterliegt die Lizenz dem reverse charge?,,,,,
Subscription Property,Scale of discount,Rabattstaffel,Scale of discount,class java.lang.String,,,,,Wie sieht die Rabattstaffel für die Lizenz aus?,,,,,
Subscription Property,SFX entry,SFX-Eintrag,SFX entry,class com.k_int.kbplus.RefdataValue,y.n,,,,Gibt es einen SFX-Eintrag?,,,,,
Subscription Property,Sim-User Number,Sim-User-Zahl,Sim-User Number,class com.k_int.kbplus.RefdataValue,sim.user.number,,,,Wie viele gleichzeitige Nutzerzugriffe umfasst die Lizenz?,How many users may access the subscription at the same time?,,,,
Subscription Property,Simuser,Simuser,Simuser,class com.k_int.kbplus.RefdataValue,y.n,,,,Sind die simuser relevant für die Preisbestimmung?,,,,,
Subscription Property,Specialised statistics / classification,Fachstatistik / Klassifikation,Specialised statistics / classification,class java.lang.Integer,,,true,,Fachstatistik / Klassifikation,,,,,
Subscription Property,Statistic,Statistik,Statistic,class java.lang.String,,,,,,,,,,
Subscription Property,Statistic access,Statistikzugang,Statistic access,class java.lang.String,,,,,Mit welchen Zugangsdaten können die Statistiken abgerufen werden?,With which credentials may the statistics be fetched?,,,,
Subscription Property,Statistics Link,Statistik-Link,Statistics Link,class java.net.URL,,,,,Über welchen Link können die Statistiken abgerufen werden?,,,,,
Subscription Property,Subscription number of editor,Subskriptionsnummer des Verlags,Subscription number of editor,class java.lang.String,,,true,,Subskriptionsnummer des Verlags.,,,,,
Subscription Property,Subscription number of provider,Subskriptionsnummer des Lieferanten,Subscription number of provider,class java.lang.String,,,true,,Subskriptionsnummer des Lieferanten.,,,,,
Subscription Property,Take Over Titles,Take-Over-Titel,Take Over Titles,class java.lang.String,,,,,Bedingungen für während der Vertragslaufzeit vom Verlag übernommene oder neu veröffentlichte Titel.,,,,,
Subscription Property,Tax exemption,Steuerbefreiung,Tax exemption,class com.k_int.kbplus.RefdataValue,y.n,,,,Liegt eine Steuerbefreiung für die Lizenz vor?,,,,,
Subscription Property,Term of notice,Kündigungsfrist,Term of notice,class com.k_int.kbplus.RefdataValue,y.n,,,,Kündigungsfrist.,,,,,
Subscription Property,Terms and conditions relevance,AGBs relevant,Terms and conditions relevance,class com.k_int.kbplus.RefdataValue,y.n,,,,AGBs relevant?,,,,,
Subscription Property,Time of billing,Rechnungszeitpunkt,Time of billing,class java.lang.String,,,,,Zeitpunkt der Rechnung.,Time of billing.,,,,
Subscription Property,Time span for testing,Testzeitraum,Time span for testing,class java.lang.String,,,,,Wie lange ermöglicht der Anbieter einen kostenfreien Testzugriff?,,,,,
Subscription Property,ZDB entry,ZDB-Eintragung,ZDB entry,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Ist eine Eintragung in der ZDB erforderlich?,,,,,
Survey Property,Participation,Teilnahme,Participation,class com.k_int.kbplus.RefdataValue,y.n,,,,Wollen Sie weiterhin an der Lizenz teilnehmen?,Do you still want to license the license?,,,,
Survey Property,Access choice remote,Zugangswahl Remote,Access choice remote,class com.k_int.kbplus.RefdataValue,access.choice.remote,,,,Bitte geben Sie hier an,ob Sie 2FA,Zugang für Wissenschaftler oder kein remote Zugang wünschen?,Please indicate here whether you want 2FA,access for scientists or no remote access?,
Survey Property,Beck Price Category A-F,Beck Preiskategorie A-F,Beck Price Category A-F,class com.k_int.kbplus.RefdataValue,category.a.f,,,,Bitte geben Sie an,in welche Preis-Kategorie Ihre Einrichtung fällt. Diese können Sie den Preistabellen entnehmen. A-C jeweils Uni mit und ohne Jurastutenten; D-F FH mit und ohne Jura und sonstige Einrichtungen.,Please indicate which price category your facility falls into. These can be found in the price tables. A-C each Uni with and without lawyers; D-F FH with and without law and other facilities.,,,
Survey Property,Multi-year term 2 years,Mehrjahreslaufzeit 2 Jahre,Multi-year term 2 years,class com.k_int.kbplus.RefdataValue,y.n,,,,Bitte geben Sie hier an,ob Sie eine Lizenzierung direkt für zwei Jahre wünschen.,Please indicate here,if you wish a licensing directly for two years.,,
Survey Property,Multi-year term 3 years,Mehrjahreslaufzeit 3 Jahre,Multi-year term 3 years,class com.k_int.kbplus.RefdataValue,y.n,,,,Bitte geben Sie hier an,ob Sie eine Lizenzierung direkt für drei Jahre wünschen.,Please indicate here,if you wish a licensing directly for three years.,,
Survey Property,Sim-User Number,Sim-User-Zahl,Sim-User Number,class com.k_int.kbplus.RefdataValue,sim.user.number,,,,Wie viele gleichzeitige Nutzerzugriffe umfasst die Lizenz?,How many users may access the subscription at the same time?,,,,
