category,token,value_de,value_en,type,rdc,mandatory,multiple,logic,expl_de,expl_en,tenant,,,
License Property,Content warranty,Gewährleistung über den Inhalt,Content warranty,class java.lang.String,,,,,"Aussage darüber, inwieweit sich die Qualität und Menge des lizenzierten Materials verändern darf und welche Kompensationszahlungen und Sonderkündigungsrechte möglich sind.",A clause that guarantees a remedy to the licensee if the quantity or quality of material contained within the resource is materially diminished. The clause is usually in the form of a pro-rata refund or termination right.,,,,
License Property,Continuing Access: Payment Note,Zugriffsrechte Kosten,Continuing Access: Payment Note,class com.k_int.kbplus.RefdataValue,license.arc.payment.note,,,,Aussagen über mögliche laufende Kosten bei fortgesetztem Hosting durch den Anbieter.,,,,,
License Property,Continuing Access: Restrictions,Zugriffsrechte Einschränkungen,Continuing Access: Restrictions,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussagen über Einschränkungen des Zugriffs, wenn z. B. im Post-Cancellation-Access nur ein Teil der vorher lizensierten Inhalte verfügbar ist.",,,,,
License Property,Continuing Access: Title Transfer,Zugriffsrechte Titeltransferregeln,Continuing Access: Title Transfer,class com.k_int.kbplus.RefdataValue,license.arc.title.transfer.regulation,,,,"Aussagen über Regeln des Titeltransfers, z. B. Regelung vorhanden, keine Regelung, Transfer Code of Practice.",,,,,
License Property,Corresponding Author Identification,Autorenidentifikation,Corresponding Author Identification,class com.k_int.kbplus.RefdataValue,license.oa.corresponding.author.identification,,true,,Aussagen über die Vorgaben zur Autorenidentifikation.,,,,,
License Property,Course pack electronic,Semesterapparat elektronisch,Course pack electronic,class com.k_int.kbplus.RefdataValue,permissions,,,,Das Recht elektronische Kopien des lizensierten Materials für Semesterapparate zur Verfügung zu stellen.,The right to use licensed materials in collections or compilations of materials assembled in an electronic format by faculty members for use by students in a class for purposes of instruction.,,,,
License Property,Course pack print,Semesterapparat gedruckt,Course pack print,class com.k_int.kbplus.RefdataValue,permissions,,,,Das Recht lizensiertes Materials in ausgedruckter Form für Semesterapparate zur Verfügung zu stellen.,"The right to use licensed materials in collections or compilations of materials assembled in a print format by faculty members for use by students in a class for purposes of instruction, e.g., book chapters, journal articles.",,,,
License Property,Course pack term note,Semesterapparat Bedingungen zur Nutzung elektronischer Skripte,Course pack term note,class java.lang.String,,,,,Bedingungen zur Nutzung elektronischer Skripte.,Information which qualifies a permissions statement on Course Packs.,,,,
License Property,Course reserve electronic/cached,Seminarapparat mit Zugangsbeschränkung elektronisch,Course reserve electronic/cached,class com.k_int.kbplus.RefdataValue,permissions,,,,,"The right to make electronic copies of the licensed materials and store them on a secure network, e.g., book chapters, journal articles stored on a secure network, for course reserves and online course websites.",,,,
License Property,Course reserve print,Seminarapparat mit Zugangsbeschränkung gedruckt,Course reserve print,class com.k_int.kbplus.RefdataValue,permissions,,,,,The right to make print copies of the licensed materials and place them in a controlled circulation area of the library for reserve reading in conjunction with specific courses of instruction.,,,,
License Property,Course reserve term note,Seminarapparat mit Zugangsbeschränkung Bedingungen der Nutzung,Course reserve term note,class java.lang.String,,,,,,Information which qualifies a permissions statement on Course Reserves.,,,,
License Property,Cure period for breach,Zeitraum der Behebung bei Vertragsbruch,Cure period for breach,class java.lang.String,,,,,"Definition der Zeitspanne, in welcher Mängel behoben werden.",The cure period for an alleged material breach.,,,,
License Property,Data protection override,Datenschutz aufgehoben,Data protection override,class com.k_int.kbplus.RefdataValue,y.n.o,,,,,A clause that provides fair use protections within the context of assertions of database protection or additional proprietary rights related to database content not currently covered by U.S. copyright law. Applicable for U.S. libraries but may be of interest for other countries when recording terms for products licensed by U.S. businesses.,,,,
License Property,Digitial copy,Digitalkopie,Digitial copy,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussagen darüber, inwiefern der Lizenznehmer und autorisierte Nutzer lizenziertes Material herunterladen und abspeichern darf.",The right of the licensee and authorized users to download and digitally copy a reasonable portion of the licensed materials.,,,,
License Property,Digitial copy term note,Digitalkopie Bedingungen,Digitial copy term note,class java.lang.String,,,,,Bedingungen der dititalen Kopie.,Information which qualifies a permissions statement on Digitally Copy,,,,
License Property,Distance Education,Fernstudium,Distance Education,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussagen darüber, inwieweit das lizenzierte Material für das Fernstudium genutzt werden darf.",The right to use licensed materials in distance education.,,,,
License Property,Distance education term note,Fernstudium Bedingungen zur Nutzung,Distance education term note,class java.lang.String,,,,,Bedingungen der Nutzung für das Fernstudium.,Information which qualifies a permissions statement on distance education.,,,,
License Property,Document delivery service (commercial),Dokumentenlieferdienst kommerziell,Document delivery service (commercial),class java.lang.String,,,,,Angabe über die Nutzungsmöglichkeit von kommerziellen Dokumentenlieferdiensten wie Subito.,,,,,
License Property,Electronic link,Elektronischer Link,Electronic link,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussagen darüber, inwiefern auf das lizenzierte Material verlinkt werden darf.",The right to link to the licensed material.,,,,
License Property,Electronic link term note,Elektronischer Link Bedingungen,Electronic link term note,class java.lang.String,,,,,Bedingungen für die Nutzung des elektronischen Link,Information which qualifies a permissions statement on Electronic Links.,,,,
License Property,Electronically Archivable Version,Zweitveröffentlichungsrecht archivierbare Version,Electronically Archivable Version,class com.k_int.kbplus.RefdataValue,license.oa.earc.version,,,,"Aussagen über die Möglichkeiten, eine archivierbare Version auf einem Repositorium zu hinterlegen.",Describes which version can be used for e.g. long-term preservation.,,,,
License Property,Embargo Period,Zweitveröffentlichungsrecht Embargo,Embargo Period,class java.lang.Integer,,,,,"Aussagen über die Zeitspanne, nach welcher auf ein elektron. Dokument ein Zugriff möglich wird.",The amount of time by which content is intentionally delayed. Refer to developing standards (e.g. ONIX for Serials) for values.,,,,
License Property,Fair use clause indicator,Hinweis auf Klausel über die 'faire Nutzung',Fair use clause indicator,class com.k_int.kbplus.RefdataValue,y.n.o,,,,Hinweis auf Klausel über die 'faire Nutzung'.,"A clause that affirms statutory fair use rights under U.S. copyright law (17 USC Section 107), or that the agreement does not restrict or abrogate the rights of the licensee or its user community under copyright law. Fair use rights include, but are not limited to, printing, downloading, and copying.",,,,
License Property,Funder,Publikationsförderer,Funder,class java.lang.String,,,,,Aussage über Geldgeber.,S.o. who provides money for s.th.,,,,
License Property,General Terms note,Allgemeine Bedingungen,General Terms note,class java.lang.String,,,,,,Notes about the terms in the business agreement of the license as a whole.,,,,
License Property,Governing jurisdiction,Gerichtsstand,Governing jurisdiction,class java.lang.String,,,,,Ort des zuständigen Gerichts.,The venue or jurisdiction to be used in the event of an alleged breach of the agreement.,,,,
License Property,Governing law,Anzuwendendes Recht,Governing law,class java.lang.String,,,,,Definition über anzuwendendes Recht.,A clause specifying the governing law to be used in the event of an alleged breach of the agreement.,,,,
License Property,Hosting Time,Hostingrecht Zeitpunkt,Hosting Time,class com.k_int.kbplus.RefdataValue,license.arc.hosting.time,,true,,"Aussagen über den Zeitpunkt, an welchem das Hostingrecht beginnt.",,,,,
License Property,Hosting: Authorized,Hostingrecht Berechtigte,Hosting: Authorized,class com.k_int.kbplus.RefdataValue,license.arc.authorized,,true,,Aussage über die zum Hosting Berechtigten.,,,,,
License Property,Hosting: Obligation,Hostingpflicht,Hosting: Obligation,class com.k_int.kbplus.RefdataValue,y.n,,,,,,,,,
License Property,Hosting: Permission,Hostingrecht,Hosting: Permission,class com.k_int.kbplus.RefdataValue,y.n.o,,,,,,,,,
License Property,Hosting: Restriction,Hostingrecht Einschränkung,Hosting: Restriction,class com.k_int.kbplus.RefdataValue,license.arc.hosting.restriction,,true,,,,,,,
